File,Mean,Variance,Standard Deviation,Range
apache__arrow#org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark#.json,1.8251541423869204e-05,2.7081791268857388e-15,5.203147692925137e-08,1.8667114032387593e-06
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV2Benchmark.attach#.json,2.1181168312150026e-07,1.9736964137787223e-14,1.404648424531794e-07,5.250089326048509e-06
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=3&size=3.json,1.8767116435204688e-07,2.95757143958173e-13,5.43744756919051e-07,2.039491231591599e-05
imglib__imglib2#net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded#.json,0.0022277818075519,1.9463997630189085e-08,0.00013949013093755627,0.004802282866382978
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect#.json,2.712306633128512e-06,2.297905280286163e-12,1.515631148021356e-06,2.1435830285292377e-05
prestodb__presto#com.facebook.presto.operator.BenchmarkWindowOperator.benchmark#numberOfPregroupedColumns=2&partitionsPerGroup=100&rowsPerPartition=10.json,0.7538224771676686,0.0009287793799771099,0.030470792021595753,0.3355443199999999
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100.json,1.8436317390339427e-07,1.1742019414927007e-14,1.0834250119299914e-07,2.9267848467762934e-06
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000.json,6.330455303504386e-08,1.3804824173590503e-15,3.714863839210423e-08,2.034012684393932e-06
apache__camel#org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionIntToLong#.json,2.09685503432093e-05,4.251681923917908e-15,6.519403236857688e-08,1.3221065550581985e-06
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field#.json,8.221980487367274e-08,2.594763645544178e-15,5.093031504929012e-08,2.1286141931941687e-06
JCTools__JCTools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=10000.json,5.8342963891931656e-08,1.3280023744691148e-17,3.643568058787737e-09,3.343126490030343e-08
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLAggregationOffHeap#.json,0.0012428649673418774,8.930102957241789e-08,0.00029878286916962634,0.012518650610526316
