Project,Benchmark,Average Duration,Standard Deviation
eclipse-vertx,nettySmallExactMatch,6.303749240558847e-08,7.898099196022276e-09
apache,SimpleExpressionTest,0.00432498800495384,0.000606586534667223
cantaloupe-project,processor,3.094690171860643e-08,1.250366049465255e-09
eclipse,map,0.9802379427839945,0.047886973755014245
jgrapht,testBellmanFordComplete,3.442126601147756,0.3335567787132275
eclipse,map,0.566003009672567,0.03748561025968143
ReactiveX,flowableDedicated,0.00010217401191638699,1.9594806059763557e-06
eclipse,testAcquireReleasePoolWithStrategy,1.2377952332395768e-07,2.4341811043891166e-08
yellowstonegames,insertIntegerSquidDefaultOS3,0.0008294665439274195,0.00018841090342228866
netty,MqttConnectReturnCodeBench,6.078322627228674e-08,8.512205312652829e-09
HdrHistogram,roundtripCompressed,0.00015374115943168957,2.4718709603698104e-05
openzipkin,writeRequest_singleSpan,0.00016417730243870805,0.006592045078731806
apache,SimpleMockPlaceholderTest,0.012589002723609756,0.009217894420163979
yellowstonegames,measureFast,0.10784121378133653,0.001073097465102627
jdbi,mapUnqualifiedBean,0.000490346191410721,0.007318815329505239
JCTools,burstCost,9.981735177773939e-06,3.8508689898821585e-06
apache,RecordBatchIterationBenchmark,0.00016969179745521539,1.840154390066128e-05
ReactiveX,obsFlatMapIterableAsObs1,0.0015570693214642614,0.00016173419909591507
zalando,contentType4,6.93885928624423e-08,1.3635583684775521e-08
prestodb,benchmarkWithoutFlatten,14.913967471541232,0.16682560784662162
eclipse-vertx,deepBufferJackson,0.0035619406591501455,0.0019119040961070655
apache,CaseInsensitiveMapTest,3.7093042617619115e-06,8.671180876264941e-07
eclipse,map,0.6336422434133098,0.041600264033339086
JCTools,MpqRelaxedBurstCost,7.099392146499703e-07,1.4711725554509506e-07
protostuff,bufferedRecycledSerializer,9.887805584666203e-08,1.9615278554003338e-07
apache,LoadTypeConvertersTest,0.013548926185406785,0.005700787245679778
eclipse,selectDistinct,0.22713516687359164,0.012067290879533277
JCTools,add,7.017000295358526e-08,4.821405310526865e-09
eclipse-vertx,vertxSmall,2.5029691777524214e-07,1.2138226421301904e-07
eclipse,CollectIfTest,0.010839698132966341,0.006401647025385977
raphw,benchmarkByteBuddySpecialized,7.021122454770836e-09,9.421482393189075e-09
RoaringBitmap,batchIterateAsIntIterator,7.978077305513127e-05,1.095529566012879e-06
imglib,multiThreaded,0.03763191407502246,0.012259104198361253
apache,mapjoin,0.48433781364055156,0.15205749810387875
jgrapht,ArrayListDAGRandomGraphBenchmark,1.3427556046164835,0.030475266545058367
raphw,benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,0.005310880414163343,0.004183300041277065
yellowstonegames,insertStringGdxOM2,0.005179767648769093,0.00046699887710171384
prestodb,InCodeGeneratorBenchmark,0.00033263522404653704,1.2940158167722419e-05
prestodb,benchmarkWithFlatten,0.00017661599398757723,1.6679567973357919e-06
eclipse-vertx,wideBufferJackson,0.0009542138505808389,0.0004532470816987515
HdrHistogram,encodeIntoCompressedByteBuffer,3.9569108260952496e-05,6.63646839350852e-05
cantaloupe-project,processor,3.5189422645077946e-08,1.1003648099999792e-08
apache,testEvalShortNoCache,0.005433767722403946,0.03428186931558117
